CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;ESTADO_CURSO;CODIGO_NIVEL_FORMACION;NIVEL_FORMACION;CODIGO_JORNADA;NOMBRE_JORNADA;TIPO_DE_FORMACION;FECHA_INICIO_FICHA;FECHA_TERMINACION_FICHA;ETAPA_FICHA;MODALIDAD_FORMACION;NOMBRE_RESPONSABLE;NUMERO_IDENTIFICACION_EMPRESA;TIPO_IDENTIFICACION_EMPRESA;NOMBRE_EMPRESA;CODIGO_SECTOR_PROGRAMA;NOMBRE_SECTOR_PROGRAMA;CODIGO_OCUPACION;NOMBRE_OCUPACION;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_COBERTURA;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;NUMERO_CURSOS;TOTAL_APRENDICES_MASCULINOS;TOTAL_APRENDICES_FEMENINOS;TOTAL_APRENDICES;HORAS_PLANTA;HORAS_CONTRATISTAS;HORAS_CONTRATISTAS_EXTERNOS;HORAS_MONITORES;HORAS_INST_EMPRESA;TOTAL_HORAS;TOTAL_APRENDICES_ACTIVOS;DURACION_PROGRAMA;NOMBRE_NUEVO_SECTOR;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;487538;1487538;En ejecucion;2;TÉCNICO;4;MIXTA;NO A LA MEDIDA;18/03/2013;12/12/2014;LECTIVA;PRESENCIAL;LUZ DABEIBA CONTRERAS;832004421;NIT;INSTITUCION EDUCATIVA MUNICIPAL JOSE MARIA ESCRIVA DE BALAGUER;1;PRIMARIO Y EXTRACTIVO;9361;OPERADORES DE CONTROL DE PROCESOS Y MÁQUINAS PARA LA ELABORACIÓN DE ALIMENTOS Y BEBIDAS;936182;1;PROCESADOS CARNICOS;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;2000;INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA;1;11;12;23;0:00;224:00;0:00;0:00;0:00;224:00;23;1940;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;577374;1577374;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;08/08/2013;29/08/2013;LECTIVA;PRESENCIAL;SOLEDAD DE LA CRUZ HERNANDEZ;899999032;NIT;EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA;6;PENDIENTE POR DEFINIR;0621;GERENTES DE COMERCIO AL POR MENOR;06210001;1;FACILITAR EL SERVICIO AL CLIENTE INTERNO Y EXTERNO DE ACUERDO CON LAS POLITICAS DE LA ORGANIZACION;57;COLOMBIA;25;CUNDINAMARCA;899;ZIPAQUIRÁ;0;;;0;;1;0;35;35;0:00;40:00;0:00;0:00;0:00;40:00;35;40;COMERCIO;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;647747;1647747;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;18/11/2013;22/11/2013;LECTIVA;PRESENCIAL;DIANA LETICIA TRUJILLO ESPEJO;8999991140;NIT;GOBERNACION DE CUNDINAMARCA;6;PENDIENTE POR DEFINIR;8366;PINTORES Y EMPAPELADORES;83660048;1;ESTUCO Y PINTURA;57;COLOMBIA;25;CUNDINAMARCA;126;CAJICA;0;;;0;;1;6;15;21;0:00;50:00;0:00;0:00;0:00;50:00;14;50;CONSTRUCCION;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;540750;1540750;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;17/06/2013;28/06/2013;LECTIVA;PRESENCIAL;DIANA CAROLINA HERRERA BARRIOS;8999991728;NIT;ALCALDIA CHIA;3;COMERCIO;6355;COCINEROS;63550257;1;MESA, BAR Y COCTELERIA;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;0;;1;4;9;13;0:00;29:50;0:00;0:00;0:00;29:50;8;30;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;548655;1548655;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;28/06/2013;02/07/2013;LECTIVA;PRESENCIAL;EDGAR AUGUSTO PILIONETA MOGOLLON;9005519636;NIT;LA ABUNDANCIA DE MIÑA S.A.S;1;PRIMARIO Y EXTRACTIVO;9615;OBREROS Y AYUDANTES EN LA ELABORACIÓN DE ALIMENTOS Y BEBIDAS;96151461;2;HIGIENE Y MANIPULACION DE ALIMENTOS.;57;COLOMBIA;25;CUNDINAMARCA;297;GACHETÁ;0;;;0;;1;11;8;19;0:00;40:00;0:00;0:00;0:00;40:00;19;40;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;601263;1601263;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;17/09/2013;09/10/2013;LECTIVA;PRESENCIAL;CARLOS ELIECER ARIAS PINZON;800067956;NIT;REPRESENTACION E INVERSIONES ELITE;6;PENDIENTE POR DEFINIR;4131;INSTRUCTORES DE FORMACIÓN PARA EL TRABAJO;41310265;1;ATENCIÓN Y SERVICIO AL CLIENTE;57;COLOMBIA;11;BOGOTÁ D.C.;1;BOGOTÁ;0;;;0;;1;4;33;37;0:00;40:00;0:00;0:00;0:00;40:00;37;40;EDUCACION;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;413023;1413023;Terminada;2;TÉCNICO;4;MIXTA;A LA MEDIDA;19/09/2012;13/12/2013;PRACTICA;PRESENCIAL;MONICA GALVIS;63390991;NIT;COLEGIO PSICOPEDAGOGICO DE CHIA;4;SERVICIOS;2222;TÉCNICOS FORESTALES Y DE RECURSOS NATURALES;222229;1;GESTIÓN EN SISTEMAS DE MANEJO AMBIENTAL;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;2000;INTEGRACIÓN CON LA EDUCACIÓN MEDIA TÉCNICA;1;13;15;28;36:00;148:00;0:00;0:00;0:00;184:00;20;1191;AGROPECUARIO;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;618677;1618677;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;11/10/2013;26/10/2013;LECTIVA;PRESENCIAL;YUBER ARMANDO VARGAS REYES;8999991728;NIT;ALCALDIA CHIA;4;SERVICIOS;2281;TÉCNICOS DE SISTEMAS;22810570;1;MANEJO DE HERRAMIENTAS OFIMATICAS: MICROSOFT EXCEL;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;0;;1;2;18;20;0:00;50:00;0:00;0:00;0:00;50:00;20;50;TRANSVERSAL;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;621061;1621061;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;15/10/2013;24/10/2013;LECTIVA;PRESENCIAL;DARIO FERNANDO INSUASTY NARVAEZ;8999994682;NIT;ALCALDIA MUNICIPAL DE SOPO;1;PRIMARIO Y EXTRACTIVO;9615;OBREROS Y AYUDANTES EN LA ELABORACIÓN DE ALIMENTOS Y BEBIDAS;96151461;2;HIGIENE Y MANIPULACION DE ALIMENTOS.;57;COLOMBIA;25;CUNDINAMARCA;758;SOPÓ;0;;;0;;1;5;15;20;0:00;40:00;0:00;0:00;0:00;40:00;10;40;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;461896;1461896;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;12/02/2013;28/02/2013;LECTIVA;PRESENCIAL;TIRSO QUIÑONEZ RODRIGUEZ;900208605;NIT;INVERSIONES VELASQUEZ L&L S.A.S;1;PRIMARIO Y EXTRACTIVO;7611;OBREROS Y AYUDANTES DE MINERÍA;76110037;1;BÁSICO EN PERFORACION DE FRENTES EN EXPLOTACIONES MINERAS.;57;COLOMBIA;25;CUNDINAMARCA;843;VILLA DE SAN DIEGO DE UBATÉ;0;;;0;;1;20;6;26;0:00;40:00;0:00;0:00;0:00;40:00;26;40;MINERIA;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;463116;1463116;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;18/02/2013;12/03/2013;LECTIVA;PRESENCIAL;FABIO ROMERO ORJUELA;8320033243;NIT;IED PABLO VI;2;INDUSTRIA;8371;MECÁNICOS INDUSTRIALES;83710041;1;APLICACIÓN DE LOS SENSORES EN LA TECNOLOGÍA DE MEDICIÓN Y CONTROL DE PROCESOS .;57;COLOMBIA;25;CUNDINAMARCA;758;SOPÓ;0;;;1003;AULA MÓVIL;1;10;8;18;0:00;0:00;20:00;0:00;0:00;20:00;18;40;INDUSTRIA;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;592901;1592901;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;02/09/2013;30/09/2013;LECTIVA;VIRTUAL;JAIRO ANTONIO;;;;2;INDUSTRIA;2242;TÉCNICOS EN ELECTRÓNICA Y TELECOMUNICACIONES;22420154;1;ELECTRONICA DIGITAL SECUENCIAL;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;1;36;5;41;0:00;42:00;0:00;0:00;0:00;42:00;1;40;ELECTRICIDAD;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;529234;1529234;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;24/05/2013;19/07/2013;LECTIVA;PRESENCIAL;SANDRA PATRICIA LOPEZ CASTRO;8000951742;NIT;ALCALDIA MUNICIPAL DE TENJO;6;PENDIENTE POR DEFINIR;7613;OBREROS AGROPECUARIOS;76130106;5;BÁSICO EN PRODUCCIÓN DE POLLOS DE ENGORDE Y GALLINAS PONEDORAS.;57;COLOMBIA;25;CUNDINAMARCA;799;TENJO;0;;;0;;1;1;22;23;0:00;40:00;0:00;0:00;0:00;40:00;8;42;AGROPECUARIO;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;480845;1480845;En ejecucion;2;TÉCNICO;4;MIXTA;NO A LA MEDIDA;11/03/2013;12/12/2014;LECTIVA;PRESENCIAL;AURA LUCIA MAYORGA;832004299;NIT;INSTITUCION EDUCATIVA DEPARTAMENTAL RAFAEL POMBO;4;SERVICIOS;1223;ASISTENTES DE PERSONAL Y SELECCIÓN;122317;1;RECURSOS HUMANOS;57;COLOMBIA;25;CUNDINAMARCA;758;SOPÓ;0;;;2010;INTEGRACIÓN CON LA EDUCACIÓN MEDIA ACADÉMICA;1;15;25;40;0:00;99:00;0:00;0:00;0:00;99:00;40;1930;TRANSVERSAL;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;500157;1500157;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;03/04/2013;30/04/2013;LECTIVA;PRESENCIAL;IRZA HURTADO;8999993305;NIT;ALCALDIA MUNICIPAL DE LENGUAZAQUE;6;PENDIENTE POR DEFINIR;7313;MINEROS -PRODUCCIÓN BAJO TIERRA;73130073;1;SEGURIDAD BASICA EN MINAS BAJO TIERRA;57;COLOMBIA;25;CUNDINAMARCA;407;LENGUAZAQUE;0;;;1003;AULA MÓVIL;1;6;12;18;40:00;0:00;0:00;0:00;0:00;40:00;18;40;MINERIA;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;638706;1638706;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;07/11/2013;07/12/2013;LECTIVA;PRESENCIAL;EDGAR AUGUSTO PILIONETA MOGOLLON;8999991728;NIT;ALCALDIA CHIA;6;PENDIENTE POR DEFINIR;3315;AUXILIARES DE DROGUERÍA Y FARMACIA;33150015;1;FARMACOLOGIA BÁSICA;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;0;;1;2;19;21;0:00;40:00;0:00;0:00;0:00;40:00;10;40;SALUD;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;621067;1621067;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;12/10/2013;22/11/2013;LECTIVA;VIRTUAL;JAIRO ANTONIO;;;;5;TRANSVERSAL;5125;OCUPACIONES PROFESIONALES EN RELACIONES PÚBLICAS Y COMUNICACIONES;51250023;2;ENGLISH DOT WORKS LEVEL 1 - INGLÉS 1;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;1013;PROGRAMA DE BILINGUISMO;1;29;51;80;0:00;60:00;0:00;0:00;0:00;60:00;4;60;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;492243;1492243;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;22/03/2013;29/06/2013;LECTIVA;PRESENCIAL;DIANA PAOLA MORA CASTRO;8999993573;NIT;ALCALDIA CHOCONTA;1;PRIMARIO Y EXTRACTIVO;7331;TRABAJADORES AGRÍCOLAS;73311527;1;EMPRENDEDOR EN PRODUCCION ECOLOGICA DE HORTALIZAS;57;COLOMBIA;25;CUNDINAMARCA;183;CHOCONTÁ;0;;;1009;JOVENES RURALES SIN ALIANZAS;1;6;24;30;0:00;174:00;0:00;0:00;0:00;174:00;30;280;AGROPECUARIO;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;469048;1469048;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;18/02/2013;15/04/2013;LECTIVA;PRESENCIAL;GRACIELA TORRES TORRES;800215546;NIT;INSTITUCION NACIONAL PENITENCIARIO Y CARCELARIO INPEC;1;PRIMARIO Y EXTRACTIVO;9615;OBREROS Y AYUDANTES EN LA ELABORACIÓN DE ALIMENTOS Y BEBIDAS;96151455;1;ELABORACION DE CONSERVAS DE FRUTAS Y HORTALIZAS;57;COLOMBIA;25;CUNDINAMARCA;899;ZIPAQUIRÁ;0;;;0;;1;24;0;24;0:00;40:00;0:00;0:00;0:00;40:00;24;40;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;561299;1561299;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;17/07/2013;04/09/2013;LECTIVA;PRESENCIAL;FABIO FERNANDO ARCOS PALMA;860054546;NIT;MG CONSULTORES CI LTDA;6;PENDIENTE POR DEFINIR;8453;OPERADORES DE MAQUINARIA AGRÍCOLA;84530005;2;BÁSICO EN MANTENIMIENTO Y OPERACIÓN DEL TRACTOR;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;0;;1;33;0;33;40:00;0:00;0:00;0:00;0:00;40:00;33;40;INDUSTRIA;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;537328;1537328;Terminada;8;CURSO ESPECIAL;4;MIXTA;A LA MEDIDA;04/06/2013;18/06/2013;LECTIVA;PRESENCIAL;ALEXANDRA SARMIENTO MELO;899999419;NIT;MUNICIPIO DE GACHANCIPA;2;INDUSTRIA;9351;OPERADORES DE MÁQUINAS PARA COSER;93510455;1;BASICO DE CONFECCION;57;COLOMBIA;25;CUNDINAMARCA;295;GACHANCIPÁ;0;;;1003;AULA MÓVIL;1;4;15;19;0:00;40:00;0:00;0:00;0:00;40:00;19;40;TEXTILES;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;402703;1402703;Terminada por fecha;2;TÉCNICO;4;MIXTA;A LA MEDIDA;24/08/2012;27/02/2013;PRACTICA;PRESENCIAL;JEINY ROMERO RODRIGUEZ;8999993186;NIT;ALCALDIA ZIPAQUIRA;6;PENDIENTE POR DEFINIR;6351;CORTADORES DE CARNE -COMERCIO MAYORISTA Y AL DETAL;635166;1;CORTE, EMPAQUE, EXHIBICION Y VENTA DE CARNE;57;COLOMBIA;25;CUNDINAMARCA;899;ZIPAQUIRÁ;0;;;0;;1;18;11;29;0:00;1:00;0:00;0:00;0:00;1:00;27;1500;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;621073;1621073;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;12/10/2013;22/11/2013;LECTIVA;VIRTUAL;JAIRO ANTONIO;;;;5;TRANSVERSAL;5125;OCUPACIONES PROFESIONALES EN RELACIONES PÚBLICAS Y COMUNICACIONES;51250023;2;ENGLISH DOT WORKS LEVEL 1 - INGLÉS 1;57;COLOMBIA;25;CUNDINAMARCA;175;CHIA;0;;;1013;PROGRAMA DE BILINGUISMO;1;35;45;80;0:00;60:00;0:00;0:00;0:00;60:00;78;60;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;470860;1470860;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;27/02/2013;24/04/2013;LECTIVA;PRESENCIAL;CLAUDIA MARCELA VALERO SANCHEZ;800141932;NIT;CORPORACION LA HACIENDA CLUB;1;PRIMARIO Y EXTRACTIVO;9615;OBREROS Y AYUDANTES EN LA ELABORACIÓN DE ALIMENTOS Y BEBIDAS;96151461;2;HIGIENE Y MANIPULACION DE ALIMENTOS.;57;COLOMBIA;25;CUNDINAMARCA;126;CAJICA;0;;;0;;1;3;18;21;0:00;40:00;0:00;0:00;0:00;40:00;19;40;SERVICIOS;
25;REGIONAL CUNDINAMARCA;9513;CENTRO DE DESARROLLO AGROEMPRESARIAL;491255;1491255;Terminada;8;CURSO ESPECIAL;4;MIXTA;NO A LA MEDIDA;15/03/2013;22/03/2013;LECTIVA;PRESENCIAL;TIRSO QUIÑONEZ;899999362;NIT;ALCALDIA MUNICIPAL DE GUACHETA;6;PENDIENTE POR DEFINIR;7313;MINEROS -PRODUCCIÓN BAJO TIERRA;73130073;1;SEGURIDAD BASICA EN MINAS BAJO TIERRA;57;COLOMBIA;25;CUNDINAMARCA;317;GUACHETA;0;;;1003;AULA MÓVIL;1;6;24;30;0:00;30:00;0:00;0:00;0:00;30:00;30;40;MINERIA;
